P18,P20,P21,P22,P23A,P23B,P24_num,P25,P27,P28,P15_bin
Hombre,22,Bachiller superior,Indiferente,,,6.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,58,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,7.0,,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,25,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Peones y obreros sin cualificar,Industrial comercial,4.0,D.C,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Mujer,26,Bachiller elemental,No creyente,Funcionarios de nivel medio,,7.0,P.S.O.E,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,35,"Menos de estudios primarios, no sabe leer",Indiferente,Obreros cualificados,,6.0,P.S.O.E,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Mujer,41,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Personal manual de servicios no cualificados,,3.0,P.S.O.E,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,26,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,4.0,P.S.O.E,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Mujer,46,Estudios primarios completos. cultural general,Católico no practicante,,,4.0,No votó,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,20,Estudios de grado medio,Católico no practicante,Funcionarios de nivel medio,,7.0,P.C.E.,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,76,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,Trabajador Independiente,3.0,P.S.O.E,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Mujer,31,Estudios primarios completos. cultural general,Católico practicante,Personal manual de servicios no cualificados,,5.0,Otros,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,24,Universitario o técnicos de grado superior,No creyente,Obreros cualificados,,6.0,No votó,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Hombre,24,Estudios de grado medio,Católico no practicante,Obreros cualificados,,7.0,No votó,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Mujer,54,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,,5.0,No votó,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Hombre,20,Estudios de grado medio,Católico no practicante,Funcionarios de nivel medio,,4.0,U.C.D,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Mujer,56,Bachiller superior,Católico practicante,"Vendedores, Agentes Comerciales, etc...",,6.0,,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Hombre,31,"Menos de estudios primarios, no sabe leer",Católico no practicante,,Trabajador Independiente,9.0,P.S.O.E,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Hombre,41,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,6.0,,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Mujer,41,Estudios primarios completos. cultural general,Católico no practicante,,Industrial comercial,,,Área de Barcelona,2.001 a 10.000 habitantes,1.0
