CUES,P1,P2,P301,P302,P4,P5,P6,P701,P702,P703,P704,P705,P706,P707,P708,P709,P710,P801,P802,P803,P804,P805,P806,P807,P9,P1001,P11,P1201,P1202,P1203,P1204,P1205,P1206,P1207,P1208,P1209,P1210,P1211,P1301,P1302,P1303,P1304,P1305,P13BIS01,P13BIS02,P13BIS03,P13BIS04,P13BIS05,P1401,P1402,P1403,P1404,P1405,P1406,P15,P16,P17,P18,P19,P19A,P20,P21,P22,P22A,P23,P24,P25,N1,N2,N3,N4,N5,P27,P28,P23A,P23B,P24_num,P801_num,P802_num,P803_num,P804_num,P805_num,P806_num,P807_num,P20_grupo,P15_bin
11,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Prensa,Televisión,Sólo una parte,Suficiente,1 año,No menciona,Juega un papel importante,Juega un papel importante,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,3,5,5,3,7,6,7,Poco,,Mucho,Menciona,Menciona,Menciona,Menciona,,Menciona,Menciona,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sí,A favor,5,Mujer,Casado,3 Hijos,67,Estudios primarios completos. cultural general,Católico no practicante,Nunca,Está empleado (trabaja por cuenta ajena),Más de 85.000 ptas mensuales,Otros,Bastante,15.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,5,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,9.0,3.0,5.0,5.0,3.0,7.0,6.0,7.0,66-75,1.0
12,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Prensa,Poco/un poco/ nada,Insuficiente,N.S,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,1,2,2,1,1,2,Algo,,Algo,Menciona,Menciona,Menciona,,Menciona,,Menciona,,,,,De acuerdo,N.S,De acuerdo,N.S,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Sin influencia,Sin influencia,,Positivamente,Positivamente,Sin influencia,,,Extrema izquierda,Hombre,Soltero,Ninguno,19,Universitario o técnicos de grado superior,Católico no practicante,Nunca,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,No votó,Bastante,15.0,2.0,De 46.000 ptas a 65.000 ptas mensuales,Extrema izquierda,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,18-25,
13,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,N.S/N.C,Poco/un poco/ nada,Suficiente,5 a 7 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,Mucho,,Mucho,Menciona,,Menciona,Menciona,Menciona,Menciona,,,,,,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,N.S,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sí,A favor,4,Mujer,Casado,2 Hijos,49,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Los domingos y festivos,Está parado,,No votó,Mucha,10.0,3.0,De 12.000 ptas a 18.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,"Vendedores, Agentes Comerciales, etc...",,,,,,,,,,46-55,1.0
14,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,N.S/N.C,Poco/un poco/ nada,Suficiente,5 a 7 meses,No menciona,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,4,4,5,3,,4,Mucho,Hay problemas más importantes,Mucho,Menciona,,Menciona,Menciona,Menciona,Menciona,Menciona,,,,,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sí,A favor,3,Hombre,Casado,1 Hijo,68,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Alguna vez al mes,Está jubilado y antes estaba empleado,De 12.000 ptas a 18.000 ptas mensuales,P.S.O.E,Bastante,20.0,8.0,De 12.000 ptas a 18.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Peones y obreros sin cualificar,,3.0,1.0,4.0,4.0,5.0,3.0,,4.0,66-75,1.0
15,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,N.S/N.C,Poco/un poco/ nada,Suficiente,N.S,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,Mucho,,Mucho,,Menciona,Menciona,Menciona,Menciona,,Menciona,,,,,N.S,N.S,N.S,N.S,N.S,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sí,A favor,4,Hombre,Casado,1 Hijo,58,Estudios primarios completos. cultural general,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,No votó,Mucha,15.0,5.0,De 19.000 ptas a 25.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,"Director de empresa, directivos",,4.0,,,,,,,,56-65,1.0
16,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,Prensa,Sólo una parte,Suficiente,Menos de 5 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,3,3,4,6,5,1,Algo,,Algo,Menciona,,Menciona,Menciona,Menciona,Menciona,,,,,Ninguno,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,Sin influencia,Sin influencia,,Negativamente,,Sin influencia,Sí,A favor,4,Hombre,Soltero,Ninguno,23,Universitario o técnicos de grado superior,Católico no practicante,Varias veces al año,Trabaja por su cuenta,,Otros,Bastante,10.0,7.0,De 36.000 ptas a 45.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,,Industrial comercial,,1.0,3.0,3.0,4.0,6.0,5.0,1.0,18-25,1.0
17,Un documento para arreglar los problemas económicos,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,Menciona,Menciona,,,,,,,,,,,,,,,,,,,Positivamente,,,,,,4,Mujer,Casado,2 Hijos,42,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Varias veces al año,Trabaja por su cuenta,,U.C.D,Mucha,7.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,4,Área de Barcelona,Más de 1.000.000 habitantes,,Profesional Liberal,,,,,,,,,36-45,
18,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Prensa,Sólo una parte,Suficiente,8 a 11 meses,Juega un papel importante,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,6,5,7,1,1,1,1,Mucho,No se confía en la política/la gente está desilusionada,Mucho,,,Menciona,Menciona,Menciona,Menciona,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Sin influencia,,Sin influencia,Positivamente,Positivamente,Sin influencia,No,,3,Mujer,Casado,3 Hijos,35,Bachiller elemental,Católico practicante,Los domingos y festivos,Trabaja por su cuenta,,Otros,Mucha,10.0,5.0,Más de 85.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,,Industrial comercial,,6.0,5.0,7.0,1.0,1.0,1.0,1.0,26-35,0.0
19,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,N.S/N.C,Poco/un poco/ nada,Suficiente,N.S,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,Mucho,,Algo,Menciona,,,Menciona,,Menciona,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,Positivamente,,Positivamente,Positivamente,Positivamente,Sin influencia,Sí,,3,Mujer,Casado,1 Hijo,57,Estudios primarios completos. cultural general,Católico practicante,Los domingos y festivos,Trabaja por su cuenta,,No votó,Bastante,10.0,9.0,De 36.000 ptas a 45.000 ptas mensuales,Extrema derecha,Área de Barcelona,Más de 1.000.000 habitantes,,,,,,,,,,,56-65,1.0
20,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,N.S/N.C,Poco/un poco/ nada,Insuficiente,Menos de 5 meses,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,5,6,6,3,3,3,Poco,Hay problemas más importantes,Mucho,Menciona,,,Menciona,Menciona,,,,,,,N.S,De acuerdo,N.S,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Sin influencia,Positivamente,Positivamente,Positivamente,Sí,,3,Mujer,Casado,Ninguno,22,Universitario o técnicos de grado superior,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),Más de 85.000 ptas mensuales,Otros,Mucha,10.0,4.0,Más de 85.000 ptas mensuales,3,Área de Barcelona,Más de 1.000.000 habitantes,Funcionarios de nivel medio,,9.0,1.0,5.0,6.0,6.0,3.0,3.0,3.0,18-25,1.0
