Ticker,0
ACS.MC,0.0005546373287726476
AENA.MC,0.0004520866971896265
AMS.MC,0.00044918377563054967
BBVA.MC,0.00039649723804242154
BKT.MC,0.00048100663887768786
CABK.MC,0.00033150239763950955
CLNX.MC,0.0006606403847334225
COL.MC,0.00028739797228114383
ENG.MC,0.00011570009210710731
FER.MC,0.0004779470347990235
GRF.MC,0.0001742330879452573
IAG.MC,-2.7962057299607456e-05
IBE.MC,0.000563528508523205
ITX.MC,0.00037280613160261736
LOG.MC,0.00043710206653510255
MAP.MC,0.00017767101973254845
MEL.MC,4.834260914294983e-05
NTGY.MC,0.0004514356122767199
SAB.MC,0.00014085420661275706
SAN.MC,6.486854394473398e-05
TEF.MC,-0.00017224438351340905
