Ticker,ACS.MC,AENA.MC,AMS.MC,BBVA.MC,BKT.MC,CABK.MC,CLNX.MC,COL.MC,ENG.MC,FER.MC,GRF.MC,IAG.MC,IBE.MC,ITX.MC,LOG.MC,MAP.MC,MEL.MC,NTGY.MC,SAB.MC,SAN.MC,TEF.MC
ACS.MC,0.0003982459941206324,0.00017739453671386044,0.00018245802982656644,0.00024176435198145242,0.00019885822899672534,0.0002104848584611244,7.821223847959423e-05,0.00017350246772752942,9.688760650919882e-05,0.0001883497078196529,8.75504854350245e-05,0.00030940848307344247,0.00010473280846734895,0.0001617588429523136,8.840710842695914e-05,0.00017381485009511534,0.0002493875265972242,0.00012612133661204242,0.0002731762947833649,0.0002610460497133595,0.00015711577848342918
AENA.MC,0.00017739453671386044,0.0003080337818731884,0.0001741944678768523,0.00018506972348921835,0.00015133319705690548,0.00015510266481313722,8.47291535387897e-05,0.00015740125553753785,9.429497265606058e-05,0.00015187631946348576,8.981091641698087e-05,0.0002965625686960179,9.143943702202403e-05,0.00014214646173547093,8.719124541030087e-05,0.00013414995453658778,0.00021889412347020145,0.00011646734919889047,0.0001965164538324939,0.00018879468673741647,0.00011755665661050102
AMS.MC,0.00018245802982656644,0.0001741944678768523,0.00036648417762327615,0.00019475015236505836,0.00016410658421081768,0.00016761954452733136,8.457194701493542e-05,0.0001425843558628141,7.842363416814068e-05,0.000163520770263072,0.00011092904208545109,0.00032596133762057987,9.77361910269514e-05,0.00016511139660932441,7.133188306462567e-05,0.00013219771001082617,0.00027096727577281723,0.00011146382176396472,0.0002156374038057483,0.00020580936130685303,0.000122285488844505
BBVA.MC,0.00024176435198145242,0.00018506972348921835,0.00019475015236505836,0.00047156154246304546,0.0003082083166082602,0.00035429815157473726,5.524531646023081e-05,0.0001725818419359317,9.348741636457594e-05,0.00016457706354271136,8.826302214079207e-05,0.0003513411627095949,0.00011254849462023406,0.00018528509497141402,9.900379848478044e-05,0.0002408300937111501,0.0002767389291988553,0.00013206001792779651,0.0004359218410776813,0.00041152371401804945,0.00021685591954090486
BKT.MC,0.00019885822899672534,0.00015133319705690548,0.00016410658421081768,0.0003082083166082602,0.00039048852569538954,0.00033342465679408437,2.254065736795719e-05,0.00012955099248865737,7.025820897791817e-05,0.00013233867708957605,6.477490610176504e-05,0.0002765059154467445,7.930409593094671e-05,0.00014273475151729354,8.577976305114989e-05,0.00019302693773166557,0.00022617301495879037,9.974908858798703e-05,0.0004040889128733632,0.0003210008504889694,0.0001601454158655239
CABK.MC,0.0002104848584611244,0.00015510266481313722,0.00016761954452733136,0.00035429815157473726,0.00033342465679408437,0.00047744986214418706,2.7235422548206625e-05,0.0001321291486372277,8.137368075321473e-05,0.00013439069900483014,7.702590038871335e-05,0.0003023265449891984,9.00538749719333e-05,0.00013897566938525963,9.08673148911528e-05,0.00022146417592627232,0.00023986693066191763,0.00011404552732371973,0.00047701876879416755,0.0003711248385254633,0.00018861255180526552
CLNX.MC,7.821223847959423e-05,8.47291535387897e-05,8.457194701493542e-05,5.524531646023081e-05,2.254065736795719e-05,2.7235422548206625e-05,0.00031571023386304847,8.268318531740885e-05,7.909290612509645e-05,9.208818250974949e-05,0.00010066691044659114,7.910750554019955e-05,9.731062125396701e-05,8.102873679746718e-05,4.071033698082197e-05,6.397111862824254e-05,6.359908495473194e-05,8.460332132940517e-05,2.835332559019955e-05,6.307817585718459e-05,7.811570507698774e-05
COL.MC,0.00017350246772752942,0.00015740125553753785,0.0001425843558628141,0.0001725818419359317,0.00012955099248865737,0.0001321291486372277,8.268318531740885e-05,0.0003271505827255949,8.854587534594925e-05,0.00014044556441960003,9.342121218188553e-05,0.0002570798426495904,8.903454748621629e-05,0.00013254604671990926,7.452902399476905e-05,0.00011377112621447934,0.00020648986760398466,0.00011065811543724036,0.00016720238021149085,0.00017649392826134432,0.00010892446181320086
ENG.MC,9.688760650919882e-05,9.429497265606058e-05,7.842363416814068e-05,9.348741636457594e-05,7.025820897791817e-05,8.137368075321473e-05,7.909290612509645e-05,8.854587534594925e-05,0.00017756642922702907,8.850357533098613e-05,7.321613236700473e-05,0.0001019887243295284,9.847510668118934e-05,8.102618298915338e-05,4.577719500333587e-05,7.985562051816308e-05,8.110045374233783e-05,0.00012799913909048783,9.348898679701066e-05,9.694676858990609e-05,0.00010331813697238404
FER.MC,0.0001883497078196529,0.00015187631946348576,0.000163520770263072,0.00016457706354271136,0.00013233867708957605,0.00013439069900483014,9.208818250974949e-05,0.00014044556441960003,8.850357533098613e-05,0.00023420304014184682,8.592944748603728e-05,0.0002451600040566218,9.938062418222322e-05,0.0001382398818364963,6.855772058489488e-05,0.00012076606051032124,0.0001844984608264632,0.00011080802831760571,0.00017153375645686609,0.00017369665185204731,0.00011687377317523745
