Date,ACS.MC,AENA.MC,AMS.MC,BBVA.MC,BKT.MC,CABK.MC,CLNX.MC,COL.MC,ENG.MC,FER.MC,GRF.MC,IAG.MC,IBE.MC,ITX.MC,LOG.MC,MAP.MC,MEL.MC,NTGY.MC,SAB.MC,SAN.MC,TEF.MC
2000-01-03,,,,6.107966423034668,4.939423561096191,,,,,7.277368545532227,,,1.3001761436462402,,,,-12.846558570861816,7.344448089599609,2.0791680812835693,8.35448169708252,11.883095741271973
2000-01-04,,,,5.948592185974121,4.714906692504883,,,,,7.140429496765137,,,1.2798306941986084,,,,-12.9502534866333,7.16707706451416,2.0791680812835693,8.156265258789062,11.393513679504395
2000-01-05,,,,5.815059661865234,4.640066146850586,,,,,6.993707180023193,,,1.2778935432434082,,,,-12.443303108215332,6.835327625274658,2.0791680812835693,7.958047389984131,10.861145973205566
2000-01-06,,,,5.815059661865234,4.640066146850586,,,,,6.993707180023193,,,1.2778935432434082,,,,-12.443303108215332,6.835327625274658,2.0791680812835693,7.958047389984131,10.861145973205566
2000-01-07,,,,5.888286590576172,4.622207164764404,,,,,7.135537624359131,,,1.2885504961013794,,,,-12.846558570861816,7.328024387359619,2.0791680812835693,8.310433387756348,10.880160331726074
2000-01-10,,,,5.793522834777832,4.696144104003906,,,,,6.9154558181762695,,,1.2788622379302979,,,,-12.984817504882812,7.199921607971191,2.067930221557617,8.237019538879395,11.208136558532715
2000-01-11,,,,5.677220821380615,5.060848712921143,,,,,6.568215847015381,,,1.2711111307144165,,,,-13.019381523132324,7.022553443908691,2.067930221557617,7.958047389984131,11.21764087677002
2000-01-12,,,,5.612607955932617,5.195737838745117,,,,,6.617123603820801,,,1.2643293142318726,,,,-13.572415351867676,6.9404377937316895,2.067930221557617,7.884633541107178,10.956212997436523
2000-01-13,,,,5.474771499633789,5.8951640129089355,,,,,6.333462238311768,,,1.2536723613739014,,,,-13.699156761169434,6.74007511138916,2.067930221557617,7.81856107711792,11.621665954589844
2000-01-14,,,,5.58245849609375,6.194920063018799,,,,,6.8420939445495605,,,1.224607229232788,,,,-13.883499145507812,6.901020526885986,2.067930221557617,8.024120330810547,11.978158950805664
