fecha,capital
2015-07-07,8883.063594474888
2015-07-08,8941.202222501983
2015-07-09,9087.544741979851
2015-07-10,9272.625745515063
2015-07-13,9445.555850065732
2015-07-14,9494.974572336927
2015-07-15,9579.56843386873
2015-07-16,9713.04433226611
2015-07-17,9705.37544111061
2015-07-20,9756.359842901626
2015-07-21,9681.767031813157
2015-07-22,9699.807990407257
2015-07-23,9665.08606299487
2015-07-24,9622.348263401298
2015-07-27,9527.01655229748
2015-07-28,9562.826698617633
2015-07-29,9609.569279013489
2015-07-30,9673.52493695437
2015-07-31,9711.311323351196
2015-08-03,9821.022055035526
2015-08-04,9838.19783414442
2015-08-05,9919.66360520489
2015-08-06,9887.32781422169
2015-08-07,9844.908397100162
2015-08-10,9920.522218214743
2015-08-11,9782.618353174721
2015-08-12,9580.366064427153
2015-08-13,9695.780995214054
2015-08-14,9692.63409210047
2015-08-17,9699.636858522208
2015-08-18,9746.664151937726
2015-08-19,9680.439771509617
2015-08-20,9478.313994708256
2015-08-21,9194.689474522303
2015-08-24,8851.834231386605
2015-08-25,9125.703079542196
2015-08-26,9001.135193135266
2015-08-27,9233.981838405538
2015-08-28,9259.164712721404
2015-08-31,9236.401850047172
2015-09-01,9056.400866912554
2015-09-02,9024.367442190016
2015-09-03,9149.948747452177
2015-09-04,9012.919594536455
2015-09-07,9018.60713353109
2015-09-08,9093.3839871408
2015-09-09,9210.677541998764
2015-09-10,9146.23722749629
2015-09-11,9088.753849313944
2015-09-14,9032.990779836327
2015-09-15,9074.977413954506
2015-09-16,9281.602821885648
2015-09-17,9370.097465193867
2015-09-18,9295.107065135504
2015-09-21,9352.774526795014
2015-09-22,9108.974101242948
2015-09-23,9095.39363752228
2015-09-24,8971.822919928369
2015-09-25,9221.60713606497
2015-09-28,9147.099982531341
2015-09-29,9064.566662240632
2015-09-30,9241.41275245021
2015-10-01,9279.681594928159
2015-10-02,9306.10885216529
2015-10-05,9556.788881802418
2015-10-06,9611.765881777434
2015-10-07,9523.836242394826
2015-10-08,9566.203300803561
2015-10-09,9518.039498841748
2015-10-12,9513.702525552015
2015-10-13,9501.839354902933
2015-10-14,9459.47542033817
2015-10-15,9579.611734946198
2015-10-16,9646.568898751475
2015-10-19,9710.240309119847
2015-10-20,9704.073626653759
2015-10-21,9771.902638366983
2015-10-22,9885.267764585487
2015-10-23,9998.703493553456
2015-10-26,10053.739807071319
2015-10-27,9987.229808561584
2015-10-28,10069.368857547128
2015-10-29,10111.167460137143
2015-10-30,10056.24358843893
2015-11-02,10092.330251317464
2015-11-03,10072.290552148586
2015-11-04,9995.588760267425
2015-11-05,10067.90354777131
2015-11-06,9993.68898924407
2015-11-09,9868.115824356388
2015-11-10,9914.789940054467
2015-11-11,9949.703524751054
2015-11-12,9843.724915050041
2015-11-13,9847.93627935256
2015-11-16,9861.491622310812
2015-11-17,10041.528552357244
2015-11-18,10007.181691580447
2015-11-19,10029.100141605162
2015-11-20,10011.398882423195
2015-11-23,10041.136548088845
2015-11-24,9912.211111889435
2015-11-25,10039.76478500321
2015-11-26,10108.603890013808
2015-11-27,10143.979590023775
2015-11-30,10236.543844056027
2015-12-01,10232.521227606117
2015-12-02,10287.055143011496
2015-12-03,10116.89744723985
2015-12-04,10106.169602545935
2015-12-07,10172.665478802464
2015-12-08,10037.044338014424
2015-12-09,9976.988893214564
2015-12-10,9904.086567696875
2015-12-11,9810.266109474514
2015-12-14,9721.993848377502
2015-12-15,9955.192844788202
2015-12-16,9979.101545249676
2015-12-17,10086.945135310314
2015-12-18,9955.612304171016
2015-12-21,9681.015592725076
2015-12-22,9709.170008244288
2015-12-23,9902.29255836765
2015-12-24,9914.111838188792
2015-12-28,9894.72324012289
2015-12-29,10066.530533575135
2015-12-30,10025.139289976429
2015-12-31,9939.197201399013
2016-01-04,9731.769335624176
2016-01-05,9776.149051219478
2016-01-06,9688.024284111943
2016-01-07,9559.582418913118
2016-01-08,9487.415750895609
2016-01-11,9440.209241306537
2016-01-12,9525.578469996572
2016-01-13,9516.747522318408
2016-01-14,9326.616291367834
2016-01-15,9091.183803795779
2016-01-18,9050.991679853316
2016-01-19,9225.059944949007
2016-01-20,9006.23247364728
2016-01-21,9095.140803520497
2016-01-22,9302.675786384434
2016-01-25,9304.149696958275
2016-01-26,9296.682557719776
2016-01-27,9346.84867383125
2016-01-28,9250.286904673292
2016-01-29,9464.370028915433
2016-02-01,9514.753837201742
2016-02-02,9385.431795488794
2016-02-03,9221.424032951489
2016-02-04,9243.602775998148
2016-02-05,9113.660698013417
2016-02-08,8770.344040017415
2016-02-09,8647.394271486253
2016-02-10,8795.070820320438
2016-02-11,8514.002591738406
2016-02-12,8582.560167968562
2016-02-15,8798.018882091808
2016-02-16,8783.529147591229
2016-02-17,8931.437571445796
2016-02-18,9006.583659580596
2016-02-19,8995.099881970898
2016-02-22,9146.677008195598
2016-02-23,9099.646881824587
2016-02-24,8941.306296149514
2016-02-25,9111.774575488234
2016-02-26,9203.847722916846
2016-02-29,9247.059853199678
2016-03-01,9414.417535169132
2016-03-02,9411.51506834524
2016-03-03,9370.087743630686
2016-03-04,9423.675869171018
2016-03-07,9410.320336836132
2016-03-08,9341.036982249689
2016-03-09,9379.694989372923
2016-03-10,9314.767280156717
2016-03-11,9409.04591721683
2016-03-14,9493.907230759907
2016-03-15,9412.481445626441
2016-03-16,9441.421026384747
2016-03-17,9426.785806429567
2016-03-18,9487.219465413202
2016-03-21,9529.782980373684
2016-03-22,9536.17821456672
2016-03-23,9580.844801089825
2016-03-24,9495.150407951669
2016-03-29,9539.466834908722
2016-03-30,9597.976021504955
2016-03-31,9473.368575750705
2016-04-01,9401.837319494389
2016-04-04,9440.606743344744
2016-04-05,9349.40336919102
2016-04-06,9414.54756378035
2016-04-07,9364.108112459631
2016-04-08,9455.54136927539
