metodo,beta,gamma,rentabilidad %,volatilidad,sharpe
proyeccion,,,0.05191008462185633,0.007824859878047744,0.0663398694558325
penalizacion,0.1,0.0,0.016029200239785275,0.008823958837464767,0.01816552226672489
penalizacion,0.1,10.0,0.09794406913964794,0.008468988945960536,0.11565011374380249
penalizacion,1.0,0.0,0.06569292202258277,0.007627187184469557,0.0861298330615422
penalizacion,1.0,10.0,0.06947325299922934,0.008833988161458998,0.07864304670373094
penalizacion,10.0,0.0,0.04689876145678365,0.008269714057842197,0.056711398262810776
penalizacion,10.0,10.0,0.052713329191201364,0.007290019153319596,0.0723088043717874
