metodo,rentabilidad %,volatilidad,sharpe,beta,gamma
proyeccion,-0.0550889886098269,0.012832481456313083,-0.04292933428142634,,
penalizacion,0.022926729307189322,0.002773715987112244,0.08265709039323335,0.1,0.0
penalizacion,0.02546549836565842,0.0028328533674340703,0.08989345745319832,0.1,10.0
penalizacion,0.02292676604936266,0.0027737141738270674,0.08265727689500596,1.0,0.0
penalizacion,0.025467620168522193,0.002832922668891691,0.08989874820157287,1.0,10.0
penalizacion,0.02292670058094139,0.0027737134796090874,0.08265706155119006,10.0,0.0
penalizacion,0.02546886848770162,0.002832891191026903,0.08990415363771644,10.0,10.0
